Dataset,#trainingRelease,%training,%DefectiveInTraining,%DefectiveInTesting,Classifier,Balancing,FeatureSelection,Cost Sensitive,Sensitivity,TP,FP,TN,FN,Recall,Precision,AUC,Kappa
3,3,42,15,12,IBk,NoSampling,false,no Cost Sensitive,0,0.9148936170212766,0.017001545595054096,0.017001545595054096,0.0851063829787234,0.9148936170212766,0.8865979381443299,0.9769722779440297,0.8858104546007541
4,4,57,14,13,NaiveBayes,NoSampling,true,no Cost Sensitive,0,0.9797979797979798,0.3044822256568779,0.3044822256568779,0.020202020202020204,0.9797979797979798,0.3299319727891156,0.8740027789486832,0.36818944017432326
4,4,57,14,13,NaiveBayes,OverSampling,true,no Cost Sensitive,0,0.9797979797979798,0.3044822256568779,0.3044822256568779,0.020202020202020204,0.9797979797979798,0.3299319727891156,0.8744711410862879,0.36818944017432326
4,4,57,14,13,NaiveBayes,UnderSampling,true,no Cost Sensitive,0,0.98989898989899,0.3075734157650695,0.3075734157650695,0.010101010101010102,0.98989898989899,0.32996632996632996,0.8716765803319126,0.36942648239719383
4,4,57,14,13,NaiveBayes,Smote,true,no Cost Sensitive,0,0.98989898989899,0.3075734157650695,0.3075734157650695,0.010101010101010102,0.98989898989899,0.32996632996632996,0.8740340030911901,0.36942648239719383
4,4,57,14,13,NaiveBayes,NoSampling,true,Sensitive Treshold,90,0.20202020202020202,0.02627511591962906,0.02627511591962906,0.797979797979798,0.20202020202020202,0.5405405405405406,0.5878725430502865,0.23917985764368432
4,4,57,14,13,NaiveBayes,NoSampling,true,Sensitive Treshold,83,0.494949494949495,0.0865533230293663,0.0865533230293663,0.5050505050505051,0.494949494949495,0.4666666666666667,0.7041980859600643,0.39817647685586877
4,4,57,14,13,NaiveBayes,NoSampling,true,Sensitive learning,90,0.6868686868686869,0.17619783616692428,0.17619783616692428,0.31313131313131315,0.6868686868686869,0.37362637362637363,0.8740027789486832,0.3768650267872573
4,4,57,14,13,NaiveBayes,NoSampling,false,no Cost Sensitive,0,0.8888888888888888,0.24574961360123648,0.24574961360123648,0.1111111111111111,0.8888888888888888,0.3562753036437247,0.8922689023152701,0.39381482720711236
4,4,57,14,13,RandomForest,NoSampling,true,no Cost Sensitive,0,0.9393939393939394,0.0,0.0,0.06060606060606061,0.9393939393939394,1.0,0.9996799525393034,0.9641397875306446
4,4,57,14,13,RandomForest,OverSampling,true,no Cost Sensitive,0,0.9393939393939394,0.0,0.0,0.06060606060606061,0.9393939393939394,1.0,0.9946372535244251,0.9641397875306446
4,4,57,14,13,RandomForest,UnderSampling,true,no Cost Sensitive,0,0.9393939393939394,0.030911901081916538,0.030911901081916538,0.06060606060606061,0.9393939393939394,0.8230088495575221,0.9950509734126427,0.8571491699686251
4,4,57,14,13,RandomForest,Smote,true,no Cost Sensitive,0,0.9494949494949495,0.0077279752704791345,0.0077279752704791345,0.050505050505050504,0.9494949494949495,0.9494949494949495,0.9994301593992475,0.9417669742244703
4,4,57,14,13,RandomForest,NoSampling,true,Sensitive Treshold,90,0.16161616161616163,0.0,0.0,0.8383838383838383,0.16161616161616163,1.0,0.5808080808080808,0.25058701072353606
4,4,57,14,13,RandomForest,NoSampling,true,Sensitive Treshold,83,0.5656565656565656,0.0,0.0,0.43434343434343436,0.5656565656565656,1.0,0.7828282828282829,0.6931568173557038
4,4,57,14,13,RandomForest,NoSampling,true,Sensitive learning,90,0.7474747474747475,0.0,0.0,0.25252525252525254,0.7474747474747475,1.0,0.9997892370380779,0.8369840742618393
4,4,57,14,13,RandomForest,NoSampling,false,no Cost Sensitive,0,0.9494949494949495,0.0,0.0,0.050505050505050504,0.9494949494949495,1.0,0.999968775857493,0.9702471164430547
4,4,57,14,13,IBk,NoSampling,true,no Cost Sensitive,0,0.9393939393939394,0.0,0.0,0.06060606060606061,0.9393939393939394,1.0,0.996487283967964,0.9641397875306446
4,4,57,14,13,IBk,OverSampling,true,no Cost Sensitive,0,0.9393939393939394,0.0,0.0,0.06060606060606061,0.9393939393939394,1.0,0.9958081588684371,0.9641397875306446
4,4,57,14,13,IBk,UnderSampling,true,no Cost Sensitive,0,0.9393939393939394,0.02936630602782071,0.02936630602782071,0.06060606060606061,0.9393939393939394,0.8303571428571429,0.9791891090190936,0.8620868150558307
4,4,57,14,13,IBk,Smote,true,no Cost Sensitive,0,0.9494949494949495,0.0077279752704791345,0.0077279752704791345,0.050505050505050504,0.9494949494949495,0.9494949494949495,0.996487283967964,0.9417669742244703
4,4,57,14,13,IBk,NoSampling,true,Sensitive Treshold,90,0.9393939393939394,0.0,0.0,0.06060606060606061,0.9393939393939394,1.0,0.9696969696969697,0.9641397875306446
4,4,57,14,13,IBk,NoSampling,true,Sensitive Treshold,83,0.9393939393939394,0.0,0.0,0.06060606060606061,0.9393939393939394,1.0,0.9696969696969697,0.9641397875306446
4,4,57,14,13,IBk,NoSampling,true,Sensitive learning,90,0.9393939393939394,0.0,0.0,0.06060606060606061,0.9393939393939394,1.0,0.996487283967964,0.9641397875306446
4,4,57,14,13,IBk,NoSampling,false,no Cost Sensitive,0,0.9292929292929293,0.0,0.0,0.0707070707070707,0.9292929292929293,1.0,0.9945201629900239,0.9579785949947695
5,5,71,14,18,NaiveBayes,NoSampling,true,no Cost Sensitive,0,0.8733333333333333,0.2764976958525346,0.2764976958525346,0.12666666666666668,0.8733333333333333,0.4212218649517685,0.8600358422939068,0.4223857719025514
5,5,71,14,18,NaiveBayes,OverSampling,true,no Cost Sensitive,0,0.8733333333333333,0.2764976958525346,0.2764976958525346,0.12666666666666668,0.8733333333333333,0.4212218649517685,0.8600358422939068,0.4223857719025514
5,5,71,14,18,NaiveBayes,UnderSampling,true,no Cost Sensitive,0,0.9933333333333333,0.30568356374807987,0.30568356374807987,0.006666666666666667,0.9933333333333333,0.4281609195402299,0.8624935995903737,0.4560234704480165
5,5,71,14,18,NaiveBayes,Smote,true,no Cost Sensitive,0,0.9933333333333333,0.30568356374807987,0.30568356374807987,0.006666666666666667,0.9933333333333333,0.4281609195402299,0.8614900153609831,0.4560234704480165
5,5,71,14,18,NaiveBayes,NoSampling,true,Sensitive Treshold,90,0.0,0.0,0.0,1.0,0.0,NaN,0.5,0.0
5,5,71,14,18,NaiveBayes,NoSampling,true,Sensitive Treshold,83,0.0,0.0,0.0,1.0,0.0,NaN,0.5,0.0
5,5,71,14,18,NaiveBayes,NoSampling,true,Sensitive learning,90,0.0,0.0,0.0,1.0,0.0,NaN,0.8600358422939068,0.0
5,5,71,14,18,NaiveBayes,NoSampling,false,no Cost Sensitive,0,0.7466666666666667,0.25499231950844853,0.25499231950844853,0.25333333333333335,0.7466666666666667,0.4028776978417266,0.8433589349718382,0.37013737915722283
5,5,71,14,18,RandomForest,NoSampling,true,no Cost Sensitive,0,0.58,0.047619047619047616,0.047619047619047616,0.42,0.58,0.7372881355932204,0.8856682027649769,0.5799919673338243
5,5,71,14,18,RandomForest,OverSampling,true,no Cost Sensitive,0,0.58,0.047619047619047616,0.047619047619047616,0.42,0.58,0.7372881355932204,0.8878545826932923,0.5799919673338243
5,5,71,14,18,RandomForest,UnderSampling,true,no Cost Sensitive,0,0.8533333333333334,0.16589861751152074,0.16589861751152074,0.14666666666666667,0.8533333333333334,0.5423728813559322,0.8780133128520226,0.5631874355037629
5,5,71,14,18,RandomForest,Smote,true,no Cost Sensitive,0,0.8533333333333334,0.16589861751152074,0.16589861751152074,0.14666666666666667,0.8533333333333334,0.5423728813559322,0.8857347670250896,0.5631874355037629
5,5,71,14,18,RandomForest,NoSampling,true,Sensitive Treshold,90,0.10666666666666667,0.0,0.0,0.8933333333333333,0.10666666666666667,1.0,0.5533333333333333,0.1625392069659663
5,5,71,14,18,RandomForest,NoSampling,true,Sensitive Treshold,83,0.14,0.0,0.0,0.86,0.14,1.0,0.57,0.2092430608168611
5,5,71,14,18,RandomForest,NoSampling,true,Sensitive learning,90,0.14,0.0,0.0,0.86,0.14,1.0,0.8857654889912955,0.2092430608168611
5,5,71,14,18,RandomForest,NoSampling,false,no Cost Sensitive,0,0.78,0.004608294930875576,0.004608294930875576,0.22,0.78,0.975,0.9982539682539683,0.8400399400898652
5,5,71,14,18,IBk,NoSampling,true,no Cost Sensitive,0,0.58,0.047619047619047616,0.047619047619047616,0.42,0.58,0.7372881355932204,0.9282590885816693,0.5799919673338243
5,5,71,14,18,IBk,OverSampling,true,no Cost Sensitive,0,0.58,0.047619047619047616,0.047619047619047616,0.42,0.58,0.7372881355932204,0.9317767537122376,0.5799919673338243
5,5,71,14,18,IBk,UnderSampling,true,no Cost Sensitive,0,0.8533333333333334,0.16589861751152074,0.16589861751152074,0.14666666666666667,0.8533333333333334,0.5423728813559322,0.9289400921658986,0.5631874355037629
5,5,71,14,18,IBk,Smote,true,no Cost Sensitive,0,0.8466666666666667,0.15668202764976957,0.15668202764976957,0.15333333333333332,0.8466666666666667,0.5545851528384279,0.9282590885816693,0.573716679652076
5,5,71,14,18,IBk,NoSampling,true,Sensitive Treshold,90,0.14666666666666667,0.0,0.0,0.8533333333333334,0.14666666666666667,1.0,0.5733333333333334,0.21836977403714233
5,5,71,14,18,IBk,NoSampling,true,Sensitive Treshold,83,0.14666666666666667,0.0,0.0,0.8533333333333334,0.14666666666666667,1.0,0.5733333333333334,0.21836977403714233
5,5,71,14,18,IBk,NoSampling,true,Sensitive learning,90,0.14666666666666667,0.0,0.0,0.8533333333333334,0.14666666666666667,1.0,0.9282590885816693,0.21836977403714233
5,5,71,14,18,IBk,NoSampling,false,no Cost Sensitive,0,0.9066666666666666,0.006144393241167435,0.006144393241167435,0.09333333333333334,0.9066666666666666,0.9714285714285714,0.9826830517153098,0.9242314362289136
6,6,85,15,19,NaiveBayes,NoSampling,true,no Cost Sensitive,0,0.9935483870967742,0.3125948406676783,0.3125948406676783,0.0064516129032258064,0.9935483870967742,0.42777777777777776,0.8460228107102649,0.4522349728552389
6,6,85,15,19,NaiveBayes,OverSampling,true,no Cost Sensitive,0,0.9935483870967742,0.3125948406676783,0.3125948406676783,0.0064516129032258064,0.9935483870967742,0.42777777777777776,0.8475892114151451,0.4522349728552389
6,6,85,15,19,NaiveBayes,UnderSampling,true,no Cost Sensitive,0,0.9935483870967742,0.3186646433990895,0.3186646433990895,0.0064516129032258064,0.9935483870967742,0.4230769230769231,0.8473738313182241,0.44528560263027006
6,6,85,15,19,NaiveBayes,Smote,true,no Cost Sensitive,0,0.9935483870967742,0.3186646433990895,0.3186646433990895,0.0064516129032258064,0.9935483870967742,0.4230769230769231,0.8538205492192471,0.44528560263027006
6,6,85,15,19,NaiveBayes,NoSampling,true,Sensitive Treshold,90,0.25161290322580643,0.09256449165402124,0.09256449165402124,0.7483870967741936,0.25161290322580643,0.39,0.5795242057858926,0.18401767004587385
6,6,85,15,19,NaiveBayes,NoSampling,true,Sensitive Treshold,83,0.6838709677419355,0.20637329286798178,0.20637329286798178,0.3161290322580645,0.6838709677419355,0.4380165289256198,0.7387488374369768,0.3931199574430357
6,6,85,15,19,NaiveBayes,NoSampling,true,Sensitive learning,90,0.8774193548387097,0.2731411229135053,0.2731411229135053,0.12258064516129032,0.8774193548387097,0.43037974683544306,0.8460228107102649,0.4324922749216983
6,6,85,15,19,NaiveBayes,NoSampling,false,no Cost Sensitive,0,0.9290322580645162,0.2746585735963581,0.2746585735963581,0.07096774193548387,0.9290322580645162,0.4430769230769231,0.8664741299133585,0.46102010552815814
6,6,85,15,19,RandomForest,NoSampling,true,no Cost Sensitive,0,0.9806451612903225,0.012139605462822459,0.012139605462822459,0.01935483870967742,0.9806451612903225,0.95,0.993553282098977,0.9567042212658963
6,6,85,15,19,RandomForest,OverSampling,true,no Cost Sensitive,0,0.9806451612903225,0.012139605462822459,0.012139605462822459,0.01935483870967742,0.9806451612903225,0.95,0.9942875324293896,0.9567042212658963
6,6,85,15,19,RandomForest,UnderSampling,true,no Cost Sensitive,0,1.0,0.03793626707132018,0.03793626707132018,0.0,1.0,0.8611111111111112,0.9903030006363502,0.9061736364055514
6,6,85,15,19,RandomForest,Smote,true,no Cost Sensitive,0,1.0,0.02276176024279211,0.02276176024279211,0.0,1.0,0.9117647058823529,0.9941162073522933,0.9423648808118952
6,6,85,15,19,RandomForest,NoSampling,true,Sensitive Treshold,90,0.47096774193548385,0.009104704097116844,0.009104704097116844,0.5290322580645161,0.47096774193548385,0.9240506329113924,0.7309315189191835,0.5684455315508538
6,6,85,15,19,RandomForest,NoSampling,true,Sensitive Treshold,83,0.7806451612903226,0.010622154779969651,0.010622154779969651,0.21935483870967742,0.7806451612903226,0.9453125,0.8850115032551764,0.8249756138492359
6,6,85,15,19,RandomForest,NoSampling,true,Sensitive learning,90,0.896774193548387,0.010622154779969651,0.010622154779969651,0.1032258064516129,0.896774193548387,0.952054794520548,0.9937931372069118,0.9062747179030208
6,6,85,15,19,RandomForest,NoSampling,false,no Cost Sensitive,0,1.0,0.010622154779969651,0.010622154779969651,0.0,1.0,0.9567901234567902,0.9972783787752705,0.9725817782867701
6,6,85,15,19,IBk,NoSampling,true,no Cost Sensitive,0,0.9806451612903225,0.012139605462822459,0.012139605462822459,0.01935483870967742,0.9806451612903225,0.95,0.993690342160654,0.9567042212658963
6,6,85,15,19,IBk,OverSampling,true,no Cost Sensitive,0,0.9806451612903225,0.012139605462822459,0.012139605462822459,0.01935483870967742,0.9806451612903225,0.95,0.9934504870527192,0.9567042212658963
6,6,85,15,19,IBk,UnderSampling,true,no Cost Sensitive,0,1.0,0.03490136570561457,0.03490136570561457,0.0,1.0,0.8707865168539326,0.9918106613147976,0.9132766974550912
6,6,85,15,19,IBk,Smote,true,no Cost Sensitive,0,1.0,0.02276176024279211,0.02276176024279211,0.0,1.0,0.9117647058823529,0.993768662195898,0.9423648808118952
6,6,85,15,19,IBk,NoSampling,true,Sensitive Treshold,90,0.9806451612903225,0.012139605462822459,0.012139605462822459,0.01935483870967742,0.9806451612903225,0.95,0.9842527779137501,0.9567042212658963
6,6,85,15,19,IBk,NoSampling,true,Sensitive Treshold,83,0.9806451612903225,0.012139605462822459,0.012139605462822459,0.01935483870967742,0.9806451612903225,0.95,0.9842527779137501,0.9567042212658963
6,6,85,15,19,IBk,NoSampling,true,Sensitive learning,90,0.9806451612903225,0.012139605462822459,0.012139605462822459,0.01935483870967742,0.9806451612903225,0.95,0.993690342160654,0.9567042212658963
6,6,85,15,19,IBk,NoSampling,false,no Cost Sensitive,0,0.9935483870967742,0.015174506828528073,0.015174506828528073,0.0064516129032258064,0.9935483870967742,0.9390243902439024,0.9924665916099662,0.9571221974275235
